DATE,VALUE
2004-06-22,7.03387
2004-06-23,7.04234
2004-06-24,7.03935
2004-06-25,7.03389
2004-06-28,7.03293
2004-06-29,7.03544
2004-06-30,7.03952
2004-07-01,7.02903
2004-07-02,7.02588
2004-07-06,7.01769
2004-07-07,7.01959
2004-07-08,7.01131
2004-07-09,7.01464
2004-07-12,7.01603
2004-07-13,7.01674
2004-07-14,7.01344
2004-07-15,7.00913
2004-07-16,7.00433
2004-07-19,7.00388
2004-07-20,7.01092
2004-07-21,6.99749
2004-07-22,7.00019
2004-07-23,6.99044
2004-07-26,6.98848
2004-07-27,6.99835
2004-07-28,6.99889
2004-07-29,7.00346
2004-07-30,7.00463
2004-08-02,7.00907
2004-08-03,7.00278
2004-08-04,7.00182
2004-08-05,6.98536
2004-08-06,6.96976
2004-08-09,6.97094
2004-08-10,6.98383
2004-08-11,6.98081
2004-08-12,6.96907
2004-08-13,6.97054
2004-08-16,6.98411
2004-08-17,6.98630
2004-08-18,6.99866
2004-08-19,6.99506
